sample,pre-wash,wash,post-dry
0-2-60,5.155,8.843,4.966
10-4-50,5.717,9.32,5.62
20-8-40,5.726,9.385,5.593
60-16-0,5.542,9.32,5.311
0-16-60,6.083,10.218,5.981
10-2-50,4.813,8.05,4.662
20-4-40,5.453,10.42,5.234
60-8-0,5.664,10.425,5.443
20-2-40,5.131,9.188,4.903
60-4-0,4.411,8.138,5
0-8-60,4.42,7.641,4.516
10-16-50,4.187,7.284,4.906
60-2-0,3.835,7.789,4.262
0-4-60,3.84,7.345,3.874
10-8-50,4.671,8.344,4.875
20-16-40,3.302,6.389,3.262
