sample,pre-wash,wash,post-dry
10,2.2302,5.13,2.1123
10,1.5838,3.33,1.5317
10,2.6001,5.51,2.4604
10,1.729,3.42,1.6147
10,1.5458,5.87,1.4533
10,2.3161,3.59,2.1493
10,1.9793,4.29,1.8573
20,2.307,5.1,2.1494
20,2.895,6.24,2.7403
20,2.043,4.61,1.9221
20,2.655,5.89,2.506
20,1.901,4.29,1.8046
20,2.705,6.05,2.5565
