sample,pre-wash,wash,post-dry
0-2-60,3.575,7.26,3.416
10-4-50,2.613,5.415,2.482
20-8-40,3.586,7.475,3.422
60-16-0,3.66,6.09,2.92
0-16-60,3.497,9.165,3.257
10-2-50,4.566,8.419,4.384
20-4-40,3.896,7.759,3.744
60-8-0,4.298,7.951,4.129
20-2-40,3.227,7.584,3.004
60-4-0,4.394,8.401,4.158
0-8-60,3.976,10.904,3.64
10-16-50,5.038,9.886,4.733
60-2-0,3.029,5.266,2.868
0-4-60,3.869,6.66,3.646
10-8-50,4.059,8.773,3.812
20-16-40,4.273,8.911,4.032
