sample,pre-wash,wash,post-dry
5ppt_1,48.5,62.0,48.0
5ppt_2,48.0,61.0,47.5
5ppt_3,47.5,59.5,47.0
0_1,46.0,57.0,45.5
0_2,45.5,56.5,45.0
0_3,45.0,56.0,44.5
