sample,pre-wash,wash,post-dry
45,2.1178,4.63,2.011
45,2.5069,5.53,2.3852
65,3.027,5.99,2.8936
65,4.1068,8.07,3.9491
90,3.6753,6.43,3.541
90,2.661,5.53,2.5416
110,2.9614,5.41,2.8384
110,3.0008,5.9,2.889
220,3.2887,5.69,3.1635
220,3.3782,6.07,3.259
